분기,인덱스(한 번 대화 시),이름,대사,액션(선택/선택),선택별 분기,선택별 인덱스,분기 전환,인덱스 전환,퀘스트,퀘스트 분기,퀘스트 인덱스,랜덤 보상,보상 카테고리,보상 개수,화면 진동(0 or 1),애니메이션,확대(0 or 1),타이핑속도(0~2),폰트크기,폰트 색상,씬 이동
1,1,주얼리짱,ㅎㅇ,,,,,,,,,,,,0,0,0,1,,,
1,1,주얼리짱,여긴 어케 옴?,,,,,,,,,,,,0,0,0,1,,,
1,1,주얼리짱,온 김에 하나 부탁하자,,,,,,,,,,,,0,0,0,1,,,
1,1,주얼리짱,부먹이랑 찍먹이랑 쌀먹 중에 뭐가 낫냐? 생각해보고 다시 말 걸어줘.,,,,,2,,,,,,,0,0,0,0.2,60,255/100/100/255,
1,2,주얼리짱,그래 생각은 좀 해봤어? 뭐가 좋은 거 같아?,,,,,,,,,,,,0,0,0,1,,,
1,2,주얼리짱,,당연히 부먹이지/뭐라는 거냐 당연히 찍먹이지/둘다 조용히하고 당연히 쌀먹으로 가야지/ 조금 더 생각해볼게,2/3/4/1,1/1/1/2,,,,,,,,,0,0,0,1,,,
2,1,주얼리짱,아 역시 부먹인가?,,,,,,,,,,,,1,1,1,2,,,
2,1,주얼리짱,부어먹는 맛을 아는구나!?? 그 눅눅함이  짱이지,,,,,,,,,,,,0,0,0,1,,,
2,1,주얼리짱,부먹의 맛을 아는 당신은 정말 멋져,,,,,,,,,,,,0,0,0,1,,,
2,1,주얼리짱,나의 고민을 해결해줬으니까 보답으로 이걸 줄게,,,,,,,,,0,0,1,0,0,0,1,,,
2,1,주얼리짱,그럼 난 부먹하러 갈게,,,,5,1,,,,,,,0,2,0,1,,,
3,1,주얼리짱,아 역시 찍먹인가?,,,,,,,,,,,,1,1,1,2,,,
3,1,주얼리짱,찍어먹는 맛을 아는구나!!! 바삭바삭함을 느낄 수 있다는  것은 좋지,,,,,,,,,,,,0,0,0,1,,,
3,1,주얼리짱,너도 상당한 맛잘알이구나?,,,,,,,,,,,,0,0,0,1,,,
3,1,주얼리짱,나의 고민을 해결해줬으니 특별히 좋은 것을 주도록 하지,,,,,,,,,0,1,1,0,0,0,1,,,
3,1,주얼리짱,그럼 난 이만 찍먹하러 가볼게 ㅂㅂ,,,,5,1,,,,,,,0,2,0,1,,,
4,1,주얼리짱,아 역시 쌀먹인가?,,,,,,,,,,,,1,0,1,2,,,
4,1,주얼리짱,쌀먹의 맛을 아는 너….,,,,,,,,,,,,0,0,0,1,,,
4,1,주얼리짱, 게임의 악 같은 녀석이로구나,,,,,,,,,,,,0,0,0,1,,,
4,1,주얼리짱,내 세상에서 사라져줘야겠어…,,,,,,,,,,,,0,0,0,0.5,,,
4,1,주얼리짱,잘가,,,,,,,,,,,,0,2,0,0.01,80,255/100/100/255,KillZoneScene
5,1,주얼리짱,오 넌 나를 도와줬던 친구구나,,,,,,,,,,,,1,0,1,1,80,,
5,1,주얼리짱,아 너무 반갑고~~,,,,,,,,,,,,0,0,0,1,,,
5,1,주얼리짱,내가 한 가지 고민이 있는데 한 번 들어보겠어?,,,,,,,,,,,,0,0,0,1,,,
5,1,주얼리짱,,고민을 듣는다/주얼리짱을 찢는다/나중에 들어보겠다고 한다.,6/8/5,1/1/2,,,,,,,,,0,0,0,1,,,
5,2,주얼리짱,그래 그럼 나중에 말해줘,,,,5,3,,,,,,,0,0,0,1,,,
5,3,주얼리짱,그래 내 고민을 들어줄거야?,,,,,,,,,,,,0,0,0,1,,,
5,3,주얼리짱,,고민을 듣는다/주얼리짱을 찢는다/나중에 들어보겠다고 한다.,6/8/5,1/1/2,,,,,,,,,0,0,0,1,,,
6,1,주얼리짱,오 고마워 무슨 고민이냐면,,,,,,,,,,,,1,0,1,1,90,,
6,1,주얼리짱,내가 이번에 누군가와 내기를 하나 했는데 무참히도 져버렸어,,,,,,,,,,,,0,1,0,1,,,
6,1,주얼리짱,너가 내기를 이겨주겠어?,,,,,,,,,,,,0,0,0,1,,,
6,1,주얼리짱,,내가 압살하는거 지켜봐/조금 더 생각해볼게,6/6,9/2,,,,,,,,,0,0,0,1,,,
6,2,주얼리짱,외?외?외?외?외?외?외?외?,,,,6,3,,,,,,,0,0,0,1,55,,
6,3,주얼리짱,이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?,,,,,,,,,,,,0,0,0,1,55,,
6,3,주얼리짱,,진정해 주얼리짱 내가 해결해줄게♥/다시  생각해봐야겠어.,6/6,9/4,,,,,,,,,0,0,0,1,,,
6,4,주얼리짱,외?외?외?외?외?외?외?외?,,,,6,5,,,,,,,0,0,0,0.7,65,,
6,5,주얼리짱,이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?,,,,,,,,,,,,0,0,0,0.7,65,,
6,5,주얼리짱,,진정해 주얼리짱 내가 해결해줄게♥/다시  생각해봐야겠어.,6/6,9/6,,,,,,,,,0,0,0,1,,,
6,6,주얼리짱,외?외?외?외?외?외?외?외?,,,,6,7,,,,,,,0,0,0,0.4,75,,
6,7,주얼리짱,이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?이겨줄래?,,,,,,,,,,,,0,0,0,0.4,75,,
6,7,주얼리짱,,진정해 주얼리짱 내가 해결해줄게♥/다시  생각해봐야겠어.,6/6,9/8,,,,,,,,,0,0,0,1,,,
6,8,주얼리짱,장난하냐? 넌 걍 죽어라,,,,,,,,,,,,0,0,1,0.3,90,255/100/100/255,KillZoneScene
6,9,주얼리짱,그래! 그럼 내가 보내줄게!,,,,7,1,,,,,,,0,2,0,1,,,PuzzleScene
7,1,주얼리짱,고오오오맙다!,,,,,,,,,,,,1,1,1,1,80,,
7,1,주얼리짱,약소하지만 이걸 받아다오,,,,7,2,,,,1,0/0/0,1/2/3,0,0,0,1,,,
7,2,주얼리짱,고오오오마웠다!,,,,,,,,,,,,0,2,0,1,,,
8,1,주얼리짱,뭐? 날 찢어?,,,,,,,,,,,,1,0,1,0.3,90,255/50/50/255,
8,1,주얼리짱,너가 찢어져라,,,,5,1,,,,,,,1,2,1,0.3,90,255/50/50/255,KillZoneScene
